symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info.symbol,info.pair,info.priceChange,info.priceChangePercent,info.weightedAvgPrice,info.lastPrice,info.lastQty,info.openPrice,info.highPrice,info.lowPrice,info.volume,info.baseVolume,info.openTime,info.closeTime,info.firstId,info.lastId,info.count,info.quoteVolume
BTC/USD:BTC,1716100912455,2024-05-19T06:41:52.455Z,67377.9,66583.7,,,,,66988.09247899,66789.8,66926.6,66926.6,,136.8,0.205,66858.2,14143.71815853,9474607.0,BTCUSD_PERP,BTCUSD,136.8,0.205,66988.09247899,66926.6,1,66789.8,67377.9,66583.7,9474607,14143.71815853,1716014460000,1716100912455,811258915,811540711,281797,
BTC/USDT:USDT,1716100910026,2024-05-19T06:41:50.026Z,67340.5,66503.2,,,,,66963.32,66750.0,66911.4,66911.4,,161.4,0.242,66830.7,94420.623,6322718312.46,BTCUSDT,,161.40,0.242,66963.32,66911.40,0.061,66750.00,67340.50,66503.20,94420.623,,1716014460000,1716100910026,5019055381,5020768861,1713476,6322718312.46
ETH/USD:ETH,1716100912326,2024-05-19T06:41:52.326Z,3147.6,3095.16,,,,,3119.89930401,3095.56,3106.0,3106.0,,10.44,0.337,3100.78,129766.86442413,40485955.0,ETHUSD_PERP,ETHUSD,10.44,0.337,3119.89930401,3106.00,11,3095.56,3147.60,3095.16,40485955,129766.86442413,1716014460000,1716100912326,765439055,765669970,230916,
ETH/USDT:USDT,1716100909038,2024-05-19T06:41:49.038Z,3146.36,3093.37,,,,,3118.33,3094.15,3105.33,3105.33,,11.18,0.361,3099.74,1160151.787,3617733212.06,ETHUSDT,,11.18,0.361,3118.33,3105.33,3.000,3094.15,3146.36,3093.37,1160151.787,,1716014460000,1716100909038,4014296602,4016288211,1991602,3617733212.06
DOGE/USD:DOGE,1716100909290,2024-05-19T06:41:49.290Z,0.15652,0.15128,,,,,0.15397899,0.15476,0.15381,0.15381,,-0.00095,-0.614,0.154285,447007796.7845216,6882981.0,DOGEUSD_PERP,DOGEUSD,-0.000950,-0.614,0.15397899,0.153810,1,0.154760,0.156520,0.151280,6882981,447007796.78452160,1716014460000,1716100909290,220150623,220228504,77882,
DOGE/USDT:USDT,1716100909194,2024-05-19T06:41:49.194Z,0.15643,0.15112,,,,,0.153842,0.15471,0.1537,0.1537,,-0.00101,-0.653,0.154205,2797525402.0,430376093.2982,DOGEUSDT,,-0.001010,-0.653,0.153842,0.153700,132,0.154710,0.156430,0.151120,2797525402,,1716014460000,1716100909194,1726240679,1727190879,950194,430376093.298200
SOL/USD:SOL,1716100908028,2024-05-19T06:41:48.028Z,175.999,170.439,,,,,173.29605876,172.48,172.99,172.99,,0.51,0.296,172.735,993195.12072571,17211680.0,SOLUSD_PERP,SOLUSD,0.510,0.296,173.29605876,172.990,16,172.480,175.999,170.439,17211680,993195.12072571,1716014460000,1716100908028,187282103,187450960,168858,
SOL/USDT:USDT,1716100910077,2024-05-19T06:41:50.077Z,175.9,170.302,,,,,173.2307,172.4,172.895,172.895,,0.495,0.287,172.6475,10438993.0,1808354208.333,SOLUSDT,,0.4950,0.287,173.2307,172.8950,1,172.4000,175.9000,170.3020,10438993,,1716014460000,1716100910077,1572174223,1573490637,1316410,1808354208.3330
BTC/USD:BTC-240628,1716100903408,2024-05-19T06:41:43.408Z,68161.5,67348.7,,,,,67779.22050046,67568.7,67720.8,67720.8,,152.1,0.225,67644.75,281.42843572,190750.0,BTCUSD_240628,BTCUSD,152.1,0.225,67779.22050046,67720.8,5,67568.7,68161.5,67348.7,190750,281.42843572,1716014460000,1716100903408,9763582,9778957,15376,
BTC/USDT:USDT-240628,1716100903399,2024-05-19T06:41:43.399Z,68200.0,67378.2,,,,,67800.3,67571.6,67721.7,67721.7,,150.1,0.222,67646.65,232.565,15767975.9,BTCUSDT_240628,,150.1,0.222,67800.3,67721.7,0.018,67571.6,68200.0,67378.2,232.565,,1716014460000,1716100903399,7005584,7031619,26036,15767975.9
BTC/USD:BTC-240927,1716100909683,2024-05-19T06:41:49.683Z,69973.0,69253.6,,,,,69645.34752936,69422.5,69601.2,69601.2,,178.7,0.257,69511.85,399.89605893,278509.0,BTCUSD_240927,BTCUSD,178.7,0.257,69645.34752936,69601.2,5,69422.5,69973.0,69253.6,278509,399.89605893,1716014460000,1716100909683,3835145,3859000,23856,
LTC/USD:LTC,1716100894265,2024-05-19T06:41:34.265Z,84.8,83.41,,,,,84.04294913,84.05,83.79,83.79,,-0.26,-0.309,83.92,103982.31012643,873898.0,LTCUSD_PERP,LTCUSD,-0.26,-0.309,84.04294913,83.79,42,84.05,84.80,83.41,873898,103982.31012643,1716014460000,1716100894265,113781102,113797956,16855,
LTC/USDT:USDT,1716100907706,2024-05-19T06:41:47.706Z,84.77,83.38,,,,,84.03,84.02,83.8,83.8,,-0.22,-0.262,83.91,820313.07,68929649.48,LTCUSDT,,-0.22,-0.262,84.03,83.80,1.000,84.02,84.77,83.38,820313.070,,1716014460000,1716100907706,920029422,920187887,158466,68929649.48
LINK/USD:LINK,1716100911842,2024-05-19T06:41:51.842Z,16.8,16.074,,,,,16.3633957,16.275,16.509,16.509,,0.234,1.438,16.392,1665182.49033383,2724804.0,LINKUSD_PERP,LINKUSD,0.234,1.438,16.36339570,16.509,12,16.275,16.800,16.074,2724804,1665182.49033383,1716014460000,1716100911842,100843907,100895262,51356,
ADA/USD:ADA,1716100912636,2024-05-19T06:41:52.636Z,0.4858,0.4754,,,,,0.48080798,0.4814,0.4775,0.4775,,-0.0039,-0.81,0.47945,40454986.0863665,1945108.0,ADAUSD_PERP,ADAUSD,-0.00390,-0.810,0.48080798,0.47750,1,0.48140,0.48580,0.47540,1945108,40454986.08636650,1716014460000,1716100912636,166338771,166373524,34754,
ADA/USDT:USDT,1716100908967,2024-05-19T06:41:48.967Z,0.4857,0.4754,,,,,0.48086,0.4812,0.4772,0.4772,,-0.004,-0.831,0.4792,231221459.0,111185472.1626,ADAUSDT,,-0.00400,-0.831,0.48086,0.47720,927,0.48120,0.48570,0.47540,231221459,,1716014460000,1716100908967,1125363305,1125622689,259383,111185472.16260
DOT/USD:DOT,1716100885080,2024-05-19T06:41:25.080Z,7.229,7.066,,,,,7.14229757,7.191,7.082,7.082,,-0.109,-1.516,7.1365,760842.00451139,543416.0,DOTUSD_PERP,DOTUSD,-0.109,-1.516,7.14229757,7.082,2,7.191,7.229,7.066,543416,760842.00451139,1716014460000,1716100885080,155021318,155037617,16300,
DOT/USDT:USDT,1716100909554,2024-05-19T06:41:49.554Z,7.227,7.06,,,,,7.14,7.185,7.081,7.081,,-0.104,-1.447,7.133,9426336.6,67301099.335,DOTUSDT,,-0.104,-1.447,7.140,7.081,1.6,7.185,7.227,7.060,9426336.6,,1716014460000,1716100909554,825329346,825526192,196847,67301099.335
XRP/USD:XRP,1716100902049,2024-05-19T06:41:42.049Z,0.5256,0.5187,,,,,0.52192362,0.5223,0.5198,0.5198,,-0.0025,-0.479,0.52105,29405049.98953466,1534719.0,XRPUSD_PERP,XRPUSD,-0.0025,-0.479,0.52192362,0.5198,51,0.5223,0.5256,0.5187,1534719,29405049.98953466,1716014460000,1716100902049,164025870,164043111,17242,
XRP/USDT:USDT,1716100910841,2024-05-19T06:41:50.841Z,0.5253,0.5182,,,,,0.5217,0.5219,0.5196,0.5196,,-0.0023,-0.441,0.52075,282269114.8,147252885.264,XRPUSDT,,-0.0023,-0.441,0.5217,0.5196,594.8,0.5219,0.5253,0.5182,282269114.8,,1716014460000,1716100910841,1486597303,1486871242,273938,147252885.2640
AVAX/USD:AVAX,1716100907925,2024-05-19T06:41:47.925Z,37.75,36.67,,,,,37.22233683,37.34,36.74,36.74,,-0.6,-1.607,37.04,322783.87182462,1201477.0,AVAXUSD_PERP,AVAXUSD,-0.60,-1.607,37.22233683,36.74,1,37.34,37.75,36.67,1201477,322783.87182462,1716014460000,1716100907925,35003006,35042009,39004,
AVAX/USDT:USDT,1716100909017,2024-05-19T06:41:49.017Z,37.741,36.65,,,,,37.2141,37.331,36.732,36.732,,-0.599,-1.605,37.0315,4509388.0,167813025.908,AVAXUSDT,,-0.5990,-1.605,37.2141,36.7320,2,37.3310,37.7410,36.6500,4509388,,1716014460000,1716100909017,796202334,796628602,426269,167813025.9080
MATIC/USDT:USDT,1716100908113,2024-05-19T06:41:48.113Z,0.7223,0.7029,,,,,0.71196,0.7143,0.7032,0.7032,,-0.0111,-1.554,0.70875,125771536.0,89544306.959,MATICUSDT,,-0.01110,-1.554,0.71196,0.70320,14,0.71430,0.72230,0.70290,125771536,,1716014460000,1716100908113,1014039786,1014243127,203341,89544306.95900
BCH/USD:BCH,1716100900893,2024-05-19T06:41:40.893Z,496.4,472.61,,,,,484.53559474,480.14,490.66,490.66,,10.52,2.191,485.4,33743.67162572,1635001.0,BCHUSD_PERP,BCHUSD,10.52,2.191,484.53559474,490.66,21,480.14,496.40,472.61,1635001,33743.67162572,1716014460000,1716100900893,63580581,63639849,59269,
BCH/USDT:USDT,1716100911684,2024-05-19T06:41:51.684Z,497.0,472.66,,,,,484.06,479.96,490.56,490.56,,10.6,2.209,485.26,439162.061,212582616.99,BCHUSDT,,10.60,2.209,484.06,490.56,0.121,479.96,497.00,472.66,439162.061,,1716014460000,1716100911684,780806812,781442407,635594,212582616.99
SUI/USDT:USDT,1716100909007,2024-05-19T06:41:49.007Z,1.0887,1.051,,,,,1.074053,1.079,1.0686,1.0686,,-0.0104,-0.964,1.0738,113210104.4,121593608.53747,SUIUSDT,,-0.010400,-0.964,1.074053,1.068600,260.5,1.079000,1.088700,1.051000,113210104.4,,1716014460000,1716100909007,309800010,310219172,419161,121593608.537470
BNB/USD:BNB,1716100908297,2024-05-19T06:41:48.297Z,582.05,574.6,,,,,578.61436948,579.16,578.36,578.36,,-0.8,-0.138,578.76,66794.45246868,3864823.0,BNBUSD_PERP,BNBUSD,-0.800,-0.138,578.61436948,578.360,2,579.160,582.050,574.600,3864823,66794.45246868,1716014460000,1716100908297,246716190,246749198,33009,
BNB/USDT:USDT,1716100909185,2024-05-19T06:41:49.185Z,581.79,574.01,,,,,578.371,578.81,577.99,577.99,,-0.82,-0.142,578.4,353519.14,204465289.181,BNBUSDT,,-0.820,-0.142,578.371,577.990,0.01,578.810,581.790,574.010,353519.14,,1716014460000,1716100909185,1291101772,1291490947,389173,204465289.181
